,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,looser,win_by_runs,win_by_wickets,palyer_of_match,venue,umpire1,umpire2
21,22,2017,Indore,4/20/2017,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,Kings XI Punjab,0,8,JC Buttler,Holkar Cricket Stadium,Marais Erasmus,C Shamshuddin
22,23,2017,Kolkata,4/21/2017,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,Kolkata Knight Riders,0,4,SK Raina,Eden Gardens,Chris Gaffaney,Nitin Menon
23,24,2017,Mumbai,4/22/2017,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,0,Mumbai Indians,Delhi Capitals,14,0,MJ McClenaghan,Wankhede Stadium,A Nand Kishore,S Ravi
24,25,2017,Pune,4/22/2017,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,Sunrisers Hyderabad,0,6,MS Dhoni,Maharashtra Cricket Association Stadium,Anil Dandekar,A Deshmukh
25,26,2017,Rajkot,4/23/2017,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Kings XI Punjab,Gujarat Lions,26,0,HM Amla,Saurashtra Cricket Association Stadium,Anil Chaudhary,Marais Erasmus
26,27,2017,Kolkata,4/23/2017,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,Royal Challengers Bangalore,82,0,NM Coulter-Nile,Eden Gardens,Chris Gaffaney,CK Nandan
27,28,2017,Mumbai,4/24/2017,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,0,Rising Pune Supergiant,Mumbai Indians,3,0,BA Stokes,Wankhede Stadium,A Nand Kishore,S Ravi
28,29,2017,Pune,4/26/2017,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,Rising Pune Supergiant,0,7,RV Uthappa,Maharashtra Cricket Association Stadium,Anil Dandekar,Nigel Llong
29,30,2017,Bangalore,4/27/2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,Royal Challengers Bangalore,0,7,AJ Tye,M Chinnaswamy Stadium,Anil Chaudhary,C Shamshuddin
30,31,2017,Kolkata,4/28/2017,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,Delhi Capitals,0,7,G Gambhir,Eden Gardens,Nigel Llong,S Ravi
31,32,2017,Chandigarh,4/28/2017,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,Kings XI Punjab,26,0,Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nitin Menon,CK Nandan
32,33,2017,Pune,4/29/2017,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rising Pune Supergiant,Royal Challengers Bangalore,61,0,LH Ferguson,Maharashtra Cricket Association Stadium,KN Ananthapadmanabhan,Marais Erasmus
33,34,2017,Rajkot,4/29/2017,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,tie,0,Mumbai Indians,Gujarat Lions,0,0,KH Pandya,Saurashtra Cricket Association Stadium,Anil Chaudhary,Chris Gaffaney
34,35,2017,Chandigarh,4/30/2017,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,Delhi Capitals,0,10,Sandeep Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",Yeshwant Barde,CK Nandan
35,36,2017,Hyderabad,4/30/2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Sunrisers Hyderabad,Kolkata Knight Riders,48,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Anil Dandekar,S Ravi
36,37,2017,Mumbai,5/1/2017,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,normal,0,Mumbai Indians,Royal Challengers Bangalore,0,5,RG Sharma,Wankhede Stadium,Anil Chaudhary,Chris Gaffaney
37,38,2017,Pune,5/1/2017,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,Gujarat Lions,0,5,BA Stokes,Maharashtra Cricket Association Stadium,Marais Erasmus,C Shamshuddin
38,39,2017,Delhi,5/2/2017,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,Sunrisers Hyderabad,0,6,Mohammed Shami,Feroz Shah Kotla,Yeshwant Barde,Nitin Menon
39,40,2017,Kolkata,5/3/2017,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,Kolkata Knight Riders,0,4,RA Tripathi,Eden Gardens,KN Ananthapadmanabhan,A Nand Kishore
40,41,2017,Delhi,5/4/2017,Gujarat Lions,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,Gujarat Lions,0,7,RR Pant,Feroz Shah Kotla,Marais Erasmus,Nitin Menon
41,42,2017,Bangalore,5/5/2017,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kings XI Punjab,Royal Challengers Bangalore,19,0,Sandeep Sharma,M Chinnaswamy Stadium,Chris Gaffaney,C Shamshuddin
42,43,2017,Hyderabad,5/6/2017,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Rising Pune Supergiant,Sunrisers Hyderabad,12,0,JD Unadkat,"Rajiv Gandhi International Stadium, Uppal",KN Ananthapadmanabhan,Anil Chaudhary
43,44,2017,Delhi,5/6/2017,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,0,Mumbai Indians,Delhi Capitals,146,0,LMP Simmons,Feroz Shah Kotla,Nitin Menon,CK Nandan
44,45,2017,Bangalore,5/7/2017,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,Royal Challengers Bangalore,0,6,SP Narine,M Chinnaswamy Stadium,Anil Dandekar,C Shamshuddin
45,46,2017,Chandigarh,5/7/2017,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,Kings XI Punjab,0,6,DR Smith,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore,Virender Kumar Sharma
46,47,2017,Hyderabad,5/8/2017,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Sunrisers Hyderabad,Mumbai Indians,0,7,S Dhawan,"Rajiv Gandhi International Stadium, Uppal",KN Ananthapadmanabhan,Marais Erasmus
47,48,2017,Chandigarh,5/9/2017,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings XI Punjab,Kolkata Knight Riders,14,0,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore,S Ravi
48,49,2017,Kanpur,5/10/2017,Gujarat Lions,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,Gujarat Lions,0,2,SS Iyer,Green Park,Yeshwant Barde,Anil Chaudhary
49,50,2017,Mumbai,5/11/2017,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,Mumbai Indians,7,0,WP Saha,Wankhede Stadium,A Deshmukh,A Nand Kishore
50,51,2017,Delhi,5/12/2017,Delhi Capitals,Rising Pune Supergiant,Delhi Capitals,bat,normal,0,Delhi Capitals,Rising Pune Supergiant,7,0,KK Nair,Feroz Shah Kotla,KN Ananthapadmanabhan,CK Nandan
51,52,2017,Kanpur,5/13/2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,Gujarat Lions,0,8,Mohammed Siraj,Green Park,Anil Chaudhary,Nitin Menon
52,53,2017,Kolkata,5/13/2017,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Mumbai Indians,Kolkata Knight Riders,9,0,AT Rayudu,Eden Gardens,A Nand Kishore,S Ravi
53,54,2017,Pune,5/14/2017,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,Kings XI Punjab,0,9,JD Unadkat,Maharashtra Cricket Association Stadium,Anil Dandekar,A Deshmukh
